living_area,land_area,quality_score,garage_capacity,garage_area,bathrooms,bedrooms,total_rooms,has_pool,has_gym,has_garden,has_garage,has_fireplace,sale_year,house_age_future,location,SalePrice
1656,31770,6,2,528,1,3,7,0,0,1,1,1,2025,65,Rural,215000
896,11622,5,1,730,1,2,5,0,1,1,1,0,2025,64,Urban,105000
1329,14267,6,1,312,1,3,6,0,0,1,1,0,2025,67,Rural,172000
2110,11160,7,2,522,2,3,8,0,0,1,1,1,2025,57,Rural,244000
1629,13830,5,2,482,2,3,6,0,0,1,1,1,2025,28,Rural,189900
1604,9978,6,2,470,2,3,7,0,0,1,1,1,2025,27,Rural,195500
1338,4920,8,2,582,2,2,6,0,0,0,1,0,2025,24,Rural,213500
1280,5005,8,2,506,2,2,5,0,0,0,1,0,2025,33,Rural,191500
1616,5389,8,2,608,2,2,5,0,0,0,1,1,2025,30,Rural,236500
1804,7500,7,2,442,2,3,7,0,0,0,1,1,2025,26,Rural,189000
1655,10000,6,2,440,2,3,7,0,0,1,1,1,2025,32,Rural,175900
1187,7980,6,2,420,2,3,6,0,0,0,1,0,2025,33,Rural,185000
1465,8402,6,2,393,2,3,7,0,0,1,1,1,2025,27,Rural,180400
1341,10176,7,2,506,1,2,5,0,0,1,1,1,2025,35,Rural,171500
1502,6820,8,2,528,1,1,4,0,0,0,1,0,2025,40,Rural,212000
3279,53504,8,3,841,3,4,12,0,0,1,1,1,2025,22,Rural,538000
1752,12134,8,2,492,2,4,8,0,0,1,1,0,2025,37,Rural,164000
1856,11394,9,3,834,1,1,8,0,0,1,1,1,2025,15,Rural,394432
864,19138,4,2,400,1,2,4,0,0,1,1,0,2025,74,Rural,141000
2073,13175,6,2,500,2,3,7,0,0,1,1,1,2025,47,Rural,210000
1844,11751,6,2,546,2,3,7,0,0,1,1,1,2025,48,Rural,190000
1173,10625,7,2,528,2,3,6,0,0,1,1,1,2025,51,Rural,170000
1674,7500,7,2,663,2,3,7,0,0,0,1,0,2025,25,Rural,216000
1004,11241,6,2,480,1,2,5,0,0,1,1,1,2025,55,Rural,149000
1078,12537,5,2,500,1,3,6,0,0,1,1,1,2025,54,Rural,149900
1056,8450,5,1,304,1,3,6,0,0,1,1,1,2025,57,Rural,142000
882,8400,4,2,525,1,2,4,0,0,1,1,0,2025,55,Rural,126000
864,10500,4,0,0,1,3,5,0,0,1,0,1,2025,54,Rural,115000
1337,5858,7,2,511,2,2,5,1,1,0,1,1,2025,26,Urban,184000
987,1680,6,1,264,1,2,5,0,1,0,1,0,2025,54,Urban,96000
1092,1680,5,1,320,1,3,6,1,1,0,1,0,2025,54,Urban,105500
1092,1680,6,1,264,1,3,6,1,1,0,1,0,2025,54,Urban,88000
1069,4043,6,2,440,2,2,4,0,0,0,1,1,2025,48,Rural,127500
1456,2280,6,2,440,2,3,6,0,0,0,1,1,2025,50,Rural,149900
836,2280,7,1,308,1,2,4,0,0,0,1,0,2025,50,Rural,120000
1456,2280,6,2,440,2,3,7,0,0,0,1,1,2025,47,Rural,146000
2334,12858,9,3,751,2,3,10,0,0,1,1,1,2025,16,Rural,376162
1704,11478,8,3,772,2,3,7,0,0,1,1,1,2025,18,Rural,306000
1940,10159,9,3,606,2,3,8,0,0,1,1,1,2025,16,Rural,395192
1544,12883,8,3,868,2,3,7,0,0,1,1,0,2025,16,Rural,290941
1541,12182,7,2,532,2,3,7,0,0,1,1,1,2025,20,Rural,220000
1698,11520,9,3,730,2,3,7,0,0,1,1,1,2025,20,Rural,275000
1822,14122,8,3,678,2,3,8,0,0,1,1,1,2025,20,Rural,259000
1535,10171,7,2,532,2,3,7,0,0,1,1,0,2025,21,Rural,214000
2364,12919,9,3,820,2,2,11,0,0,1,1,1,2025,16,Rural,611657
1358,6371,7,2,484,2,2,6,0,0,0,1,1,2025,16,Rural,224000
2696,14300,9,3,958,2,3,10,0,0,1,1,1,2025,22,Rural,500000
2250,13650,8,3,756,2,3,7,0,0,1,1,1,2025,23,Rural,320000
1752,7658,9,2,576,2,2,6,0,0,0,1,1,2025,20,Rural,319900
1370,7132,8,2,484,2,2,6,0,0,0,1,1,2025,19,Rural,205000
1626,2628,7,2,474,2,2,6,0,0,0,1,0,2025,22,Rural,175500
1324,18494,6,2,430,2,3,6,0,0,1,1,0,2025,20,Rural,199500
1145,3203,7,2,437,2,2,6,0,0,0,1,0,2025,19,Rural,160000
